freq,psd_x,psd_y,psd_z,psd_xyz
12.7,30501.6,3050.2,1525.1,33551.7
12.8,30730.0,3073.0,1536.5,33803.0
12.9,30961.1,3096.1,1548.1,34057.2
13.0,31194.7,3119.5,1559.7,34314.1
13.1,31430.9,3143.1,1571.5,34574.0
13.2,31669.8,3167.0,1583.5,34836.8
13.3,31911.4,3191.1,1595.6,35102.6
13.4,32155.8,3215.6,1607.8,35371.4
13.5,32403.0,3240.3,1620.1,35643.3
13.6,32653.0,3265.3,1632.6,35918.3
13.7,32905.8,3290.6,1645.3,36196.4
13.8,33161.6,3316.2,1658.1,36477.8
13.9,33420.4,3342.0,1671.0,36762.4
14.0,33682.2,3368.2,1684.1,37050.4
14.1,33947.0,3394.7,1697.4,37341.7
14.2,34214.9,3421.5,1710.7,37636.4
14.3,34486.0,3448.6,1724.3,37934.6
14.4,34760.3,3476.0,1738.0,38236.4
14.5,35037.9,3503.8,1751.9,38541.7
14.6,35318.7,3531.9,1765.9,38850.6
14.7,35602.9,3560.3,1780.1,39163.2
14.8,35890.6,3589.1,1794.5,39479.6
14.9,36181.7,3618.2,1809.1,39799.8
15.0,36476.3,3647.6,1823.8,40123.9
15.1,36774.4,3677.4,1838.7,40451.9
15.2,37076.3,3707.6,1853.8,40783.9
15.3,37381.8,3738.2,1869.1,41119.9
15.4,37691.0,3769.1,1884.6,41460.1
15.5,38004.1,3800.4,1900.2,41804.5
15.6,38321.0,3832.1,1916.1,42153.1
15.7,38641.9,3864.2,1932.1,42506.1
15.8,38966.8,3896.7,1948.3,42863.5
15.9,39295.8,3929.6,1964.8,43225.3
16.0,39628.9,3962.9,1981.4,43591.7
16.1,39966.2,3996.6,1998.3,43962.8
16.2,40307.7,4030.8,2015.4,44338.5
16.3,40653.7,4065.4,2032.7,44719.0
16.4,41004.0,4100.4,2050.2,45104.4
16.5,41358.8,4135.9,2067.9,45494.7
16.6,41718.2,4171.8,2085.9,45890.1
16.7,42082.3,4208.2,2104.1,46290.5
16.8,42451.1,4245.1,2122.6,46696.2
16.9,42824.7,4282.5,2141.2,47107.2
17.0,43203.2,4320.3,2160.2,47523.5
17.1,43586.6,4358.7,2179.3,47945.3
17.2,43975.2,4397.5,2198.8,48372.7
17.3,44368.8,4436.9,2218.4,48805.7
17.4,44767.8,4476.8,2238.4,49244.5
17.5,45172.0,4517.2,2258.6,49689.2
17.6,45581.7,4558.2,2279.1,50139.9
17.7,45996.9,4599.7,2299.8,50596.6
17.8,46417.7,4641.8,2320.9,51059.5
17.9,46844.3,4684.4,2342.2,51528.7
18.0,47276.7,4727.7,2363.8,52004.3
18.1,47715.0,4771.5,2385.7,52486.4
18.2,48159.3,4815.9,2408.0,52975.2
18.3,48609.8,4861.0,2430.5,53470.7
18.4,49066.5,4906.7,2453.3,53973.2
18.5,49529.6,4953.0,2476.5,54482.6
